год,спрос_общий,спрос_критический,запас_начало,поступление,потери,выдано,запас_конец,обслужен_общий,обслужен_критич,дефицит_общий,дефицит_критич,сервис_общий_%,сервис_критич_%
2035,100.0,80.0,20.0,105.0,1.26,100.0,23.74,100.0,80.0,0.0,0.0,100.0,100.0
2036,140.0,105.0,23.74,148.0,1.776,140.0,29.964,140.0,105.0,0.0,0.0,100.0,100.0
2037,190.0,135.0,29.964,200.0,2.4,190.0,37.564,190.0,135.0,0.0,0.0,100.0,100.0
2038,287.5,195.5,37.564,266.0,3.192,287.5,12.872,287.5,195.5,0.0,0.0,100.0,100.0
2039,368.0,241.5,12.872,349.0,4.188,357.684,0.0,357.684,241.5,10.316,0.0,97.2,100.0
2040,448.5,287.5,0.0,422.0,5.064,416.936,0.0,416.936,287.5,31.564,0.0,92.96,100.0
