год,capex,переменные,резерв,take_or_pay_gap,хранение,opex,итого_год,дисконтир_год
2035,0.0,651.0,49.5,0.0,15.746,0.0,716.246,669.389
2036,180.0,917.6,67.5,0.0,19.333,12.0,1196.433,1045.011
2037,1610.0,1272.4,87.75,0.0,24.31,12.0,3006.46,2454.167
2038,0.0,1630.2,91.5,0.0,18.157,82.0,1821.857,1389.886
2039,0.0,2132.5,106.5,0.0,4.634,82.0,2325.634,1658.145
2040,0.0,2637.5,126.0,0.0,0.0,82.0,2845.5,1896.077
ИТОГО,1790.0,,,,,,11912.131,9112.675
